tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7700.08  -1.272 80.584 38.8589 26.7351 -7767.27 0.266593 0.215645 0.197232  0.32053 0.0501296  0.280263 0.0621331 0.0135481  0.582623 0.0113036
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.61  -1.08065 81.0527 38.7873 27.4143 -7757.21 0.242845 0.233687 0.212141 0.311328  0.0446565   0.303902  0.0738927   0.014696   0.560188 0.00266544
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7697.06  -1.272 79.5832 38.3422 28.4478 -7765.47 0.257922 0.229277 0.202933 0.309869 0.0518023  0.300864 0.0532508 0.0205636  0.563446 0.0100736
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.68  -1.08065 80.7549 38.9623 30.8203 -7761.21 0.237197  0.24054 0.207748 0.314515 0.0443893  0.297434 0.0660902 0.0159412  0.563009 0.0131363
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7701.52  -1.272 71.0186 38.2137 30.5544 -7763.61 0.259356 0.225651 0.205847 0.309147  0.0477576    0.30904  0.0675995 0.00750702   0.560307 0.00778902
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7706.55  -1.272 74.5471 39.0913 23.9548 -7764.69 0.249497  0.21701 0.219293   0.3142  0.0547231   0.325407  0.0822323  0.0153382   0.513859 0.00844088
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.88  -1.08065 80.0488 39.0803 27.5942 -7763.36 0.231887 0.236236 0.206973 0.324904 0.0502995  0.315602  0.054159 0.0180714   0.54698 0.0148874
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.63  -1.272 77.8164 38.7634 31.5277 -7763.94  0.24862 0.229943 0.212795 0.308642  0.0441683   0.306513  0.0636609  0.0157857   0.561781 0.00809118
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.2  -1.272 78.3178 39.0003 28.7348 -7761.98 0.233463 0.238152 0.217254 0.311131  0.0469215   0.285433   0.067451 0.00815729     0.5853 0.00673666
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7700.28  -1.08065 72.2533 39.2469 30.6552 -7762.87 0.240243 0.222599  0.20364 0.333518  0.0459155   0.310171   0.064291  0.0148098   0.556866 0.00794679
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.71  -1.272 80.7272 39.3304 28.5018 -7763.34 0.251539 0.238042 0.207958 0.302461  0.0453693   0.296457  0.0761643  0.0107025   0.567383 0.00392383
(1,2,((3,(((((7,8),9),10),11),12)),((4,5),6))); -7723.29  -8.21894 79.0242 39.2541 28.7904 -7783.64  0.23928 0.229931 0.215492 0.315297  0.0538676   0.294247  0.0848576 0.00889338   0.548115  0.0100189
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.54  -1.08065 80.0971 38.6644 29.2704 -7762.16 0.234283  0.22267 0.203874 0.339173 0.0454177  0.301402 0.0639886 0.0102495  0.567479 0.0114632
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7698.55  -1.08065 70.3197 38.4221 28.7799 -7758.15 0.224321 0.243481 0.214129  0.31807  0.0533756    0.29733  0.0655284  0.0115819   0.565159 0.00702453
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7687.55  -2.66895 82.7476 38.736 26.6136 -7755.51 0.261836 0.221643 0.189794 0.326728  0.0532821   0.295337   0.081835  0.0126124   0.550735 0.00619851
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7700.88  -2.14334 81.0426 39.0518 29.2113 -7769.94 0.246344 0.241259 0.210266 0.302131 0.0491927  0.298037 0.0674481 0.0188496  0.552829 0.0136432
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.28  -1.08065 81.3609 39.2203 26.3291 -7758.67 0.246193  0.23004 0.200732 0.323035  0.0568721   0.281102  0.0707977 0.00766031   0.564954  0.0186141
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.87  -2.3347 76.2289 39.1349 30.5993 -7770.23  0.24936 0.245142 0.200739 0.304759  0.0482987   0.307358  0.0699789  0.0123125   0.556006 0.00604538
