((((1,2),(3,((4,5),6))),11),(((7,8),9),10),12); 0.49083333 0.49603588  -0.30906595  -0.30448691
((((1,2),((3,6),(4,5))),11),(((7,8),9),10),12); 0.41416667 0.39399847  -0.38282486  -0.40450546
((((1,2),(3,((4,5),6))),(((7,8),9),10)),11,12); 0.05250000 0.04325109  -1.27984070  -1.36400299
((((1,2),((3,6),(4,5))),(((7,8),9),10)),11,12); 0.01000000 0.03435409  -2.00000000  -1.46402155
((((1,((3,6),(4,5))),2),(((7,8),9),10)),11,12); 0.00916667 0.00091258  -2.03778856  -3.03973071
((((1,(3,((4,5),6))),2),(((7,8),9),10)),11,12); 0.00833333 0.00114891  -2.07918125  -2.93971215
((((1,((3,6),(4,5))),2),11),(((7,8),9),10),12); 0.00583333 0.01046611  -2.23408321  -1.98021463
((((1,(3,((4,5),6))),2),11),(((7,8),9),10),12); 0.00250000 0.01317662  -2.60205999  -1.88019607
((((1,2),(((3,6),4),5)),11),(((7,8),9),10),12); 0.00250000 0.00223440  -2.60205999  -2.65083988
(((((1,2),((4,5),6)),3),11),(((7,8),9),10),12); 0.00166667 0.00152917  -2.77815125  -2.81554518
(((1,2),((3,6),(4,5))),((((7,8),9),10),11),12); 0.00166667 0.00107357  -2.77815125  -2.96917153
(((1,2),(3,((4,5),6))),((((7,8),9),10),11),12); 0.00083333 0.00135160  -3.07918125  -2.86915297
