tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,3),((4,6),5)); -4542.53  -1.76579 30.1737 13.1979 28.7243 -4586.47 0.286911 0.274626 0.147849 0.290615  0.237711  0.150115 0.0912321 0.0123736  0.504893  0.003676
(1,2,(3,(4,(5,6)))); -4533.63  -1.29936 30.7137 13.2961 27.7242 -4577.48  0.28072 0.261003 0.143811 0.314466   0.227366   0.163212  0.0811997  0.0133561   0.508452 0.00641453
(1,2,(3,((4,6),5))); -4537.67  -1.64152 30.0808 13.6798 26.5209 -4578.95 0.287579 0.254275 0.151057 0.307089   0.216038   0.143433  0.0765999  0.0226902   0.532879 0.00835959
(1,2,(3,((4,6),5))); -4540.53  -1.64152 27.3305 13.3276 25.432 -4578.32 0.263516 0.281754 0.153293 0.301437   0.261139   0.160904  0.0826049  0.0265631    0.46253 0.00625983
(1,(2,3),((4,6),5)); -4545.1  -1.76579 29.1635 13.7581 27.9968 -4586.74 0.289856 0.269015  0.13969  0.30144   0.24387  0.145441 0.0875346 0.0254814  0.485988  0.011686
(1,2,(3,(4,(5,6)))); -4539.01  -1.29936 30.7776 13.3362 23.6361 -4578.79  0.26865 0.291949 0.141714 0.297688    0.21328   0.175478  0.0823245  0.0334659   0.492532 0.00291957
(1,(2,3),((4,6),5)); -4548.49  -1.76579 29.1842 12.8152 23.5346 -4586.62 0.292979 0.282408 0.136347 0.288267   0.230084   0.199908   0.093214  0.0214106   0.448538 0.00684588
(1,2,(3,(4,(5,6)))); -4536.8  -1.29936 29.5233 13.8195 26.7182 -4577.93 0.299487 0.282278 0.134571 0.283664    0.25649   0.148285   0.079105  0.0250374   0.483976 0.00710666
(1,2,(3,(4,(5,6)))); -4539.64  -1.29936 28.5844 13.8735 24.1518 -4577.2 0.293504 0.262478 0.149295 0.294724   0.210323   0.189524  0.0939938  0.0316558    0.46938 0.00512271
(1,2,(3,((4,6),5))); -4539.17  -1.64152 29.2527 13.124 24.0847 -4577.75 0.274427 0.265066 0.149027  0.31148  0.229427  0.132036 0.0640935 0.0231539  0.537377 0.0139128
(1,(2,((4,6),5)),3); -4542.98  -3.10649 28.1971 13.1683 26.162 -4581.07 0.280584 0.262245 0.167425 0.289746  0.259353  0.164341 0.0836543 0.0177728  0.470069 0.0048091
(1,2,(3,((4,6),5))); -4541.26  -1.64152 30.2711 13.7987 22.2185 -4578.31 0.266541 0.266126 0.156079 0.311254    0.24266   0.192933  0.0693168  0.0272194   0.457873 0.00999817
(1,2,(3,(4,(5,6)))); -4541.45  -1.29936 31.1351 13.905 22.1014 -4579.48 0.268249 0.274846 0.149759 0.307146  0.265357  0.118469  0.104145   0.02375  0.475771 0.0125069
(1,(2,3),(4,(5,6))); -4546.81  -1.42363 30.3015 13.3365 20.191 -4582.54 0.269802 0.267377 0.128165 0.334657   0.199044   0.183907  0.0848137  0.0157946   0.511672 0.00476889
(1,(2,(4,(5,6))),3); -4542.24  -2.76434 25.1207 12.9756 28.4266 -4580.05 0.293906 0.271241 0.140885 0.293969   0.221858   0.163511  0.0827152  0.0257128   0.502846 0.00335613
(1,2,(3,(4,(5,6)))); -4541.99  -1.29936 28.6333 13.2948 21.218 -4577.25 0.280945 0.267325 0.163555 0.288174  0.275995  0.159529  0.063064 0.0287782  0.456614 0.0160204
(1,2,(3,((4,6),5))); -4534.16  -1.64152 31.1999 13.4256 28.1728 -4578.46 0.297356 0.273327 0.143349 0.285969  0.232538  0.143627 0.0918731 0.0187426  0.502516  0.010703
(1,2,(3,(4,(5,6)))); -4534.32  -1.29936 31.6354 13.5323 28.0303 -4579.16 0.296081 0.265153 0.140607 0.298159   0.211617   0.153214     0.0873  0.0164342   0.524698 0.00673661
(1,(2,(4,(5,6))),3); -4542.19  -2.76434 28.7489 13.3412 25.129 -4579.97 0.270961 0.284776 0.151016 0.293247   0.241045   0.126687  0.0890255  0.0111587   0.523836 0.00824699
(1,2,(3,(4,(5,6)))); -4535.34  -1.29936 31.9544 13.7232 25.1252 -4577.4 0.292424 0.284352 0.135938 0.287287   0.246571   0.150405   0.108894  0.0161662   0.476629 0.00133483
(1,(2,3),((4,6),5)); -4555.72  -1.76579 24.4138 12.8326 22.6595 -4588.19  0.30167 0.274749  0.12962 0.293961  0.225059   0.15986 0.0586625 0.0327134  0.511637 0.0120684
(1,2,(3,(4,(5,6)))); -4535.5  -1.29936 28.7509 13.0204 27.1707 -4577.1 0.271032 0.271625 0.147938 0.309405  0.223384  0.171821 0.0803371 0.0175264  0.495967 0.0109649
(1,(2,((4,6),5)),3); -4550.38  -3.10649 28.0254 13.9115 23.6926 -4585.08 0.277294  0.26179 0.144319 0.316597   0.275151   0.139316  0.0913479  0.0299541   0.455712 0.00851817
(1,2,(3,(4,(5,6)))); -4537.58  -1.29936 29.7151 13.4742 25.3914 -4577.91 0.271976 0.276732 0.155915 0.295377   0.215195   0.169458   0.107809  0.0208983   0.484561 0.00207861
(1,2,(3,(4,(5,6)))); -4535.74  -1.29936 30.5015 13.8657 26.5706 -4577.65 0.286305 0.262551 0.143052 0.308091  0.265668  0.132756   0.08471 0.0207786   0.48559 0.0104975
(1,(2,3),(4,(5,6))); -4539.04  -1.42363 28.9564 13.4507 28.2244 -4581.35 0.278218 0.275454 0.142896 0.303432    0.25804   0.144236  0.0718463  0.0193692   0.501841 0.00466767
(1,(2,3),(4,(5,6))); -4539.53  -1.42363 29.7657 13.2843 26.3455 -4580.93 0.291656 0.288946 0.142814 0.276584   0.244902   0.150121  0.0979014  0.0227746   0.475976 0.00832476
(1,(2,3),(4,(5,6))); -4541.65  -1.42363 26.56 13.2799 27.8155 -4581.33 0.294008 0.269333  0.14683  0.28983   0.234381   0.144556   0.108685  0.0165654   0.490268 0.00554497
(1,(2,3),(4,(5,6))); -4543.64  -1.42363 27.7093 13.7065 24.893 -4581.12 0.302617   0.2829 0.135369 0.279113  0.247649  0.132179 0.0826589 0.0232314  0.501497 0.0127847
(1,2,(3,(4,(5,6)))); -4533.16  -1.29936 31.7998 13.3519 27.8887 -4578.19 0.289099 0.279725 0.131079 0.300096   0.218341   0.155093  0.0850642   0.020918   0.513877 0.00670697
(1,2,(3,(4,(5,6)))); -4535.45  -1.29936 29.3951 12.8604 27.3155 -4578 0.278803 0.278918 0.146326 0.295953   0.223909   0.141978  0.0733388   0.015354   0.542456 0.00296479
(1,(2,3),(4,(5,6))); -4544.94  -1.42363 28.4834 13.3835 23.0442 -4581.66 0.286345  0.26925 0.131142 0.313263   0.266398   0.140011  0.0788351  0.0367684   0.475994 0.00199321
(1,2,(3,(4,(5,6)))); -4540.45  -1.29936 27.843 13.2155 24.3609 -4578.14 0.278025 0.273843 0.153179 0.294953  0.218043  0.156926  0.112368 0.0180703  0.476328 0.0182648
(1,2,(3,(4,(5,6)))); -4541.37  -1.29936 30.9428 13.4251 22.4091 -4580 0.281762 0.292051 0.137564 0.288623   0.230088   0.202616  0.0704251  0.0141907   0.473701 0.00897862
(1,(2,((4,6),5)),3); -4550.66  -3.10649 25.814 13.3377 22.4893 -4582.52 0.272227 0.272369  0.17955 0.275854   0.245955   0.147133  0.0854273   0.023267   0.496086 0.00213131
(1,2,(3,(4,(5,6)))); -4532.17  -1.29936 32.2851 13.6596 28.5285 -4578.03 0.282028 0.269488 0.147175  0.30131    0.25253   0.156197  0.0908671  0.0125628   0.482822 0.00502092
(1,2,(3,(4,(5,6)))); -4537.8  -1.29936 28.1522 13.357 26.3277 -4577.62 0.279363 0.263609 0.152061 0.304967  0.251297  0.167601 0.0851875 0.0223506  0.459739 0.0138256
(1,2,(3,((4,6),5))); -4534.79  -1.64152 28.0626 13.0106 29.0086 -4577.21 0.281672 0.273246 0.147503 0.297579   0.224508   0.162142  0.0736481  0.0202083   0.513433 0.00606007
(1,2,(3,((4,6),5))); -4538.24  -1.64152 29.0728 12.9177 24.0025 -4576.75 0.279226 0.288004 0.140578 0.292192   0.215259   0.157035  0.0858672 0.00665595    0.53052 0.00466309
(1,2,(3,((4,6),5))); -4536.36  -1.64152 27.7188 13.3229 28.0839 -4577.2 0.286345 0.274797 0.144754 0.294104   0.254576   0.138134  0.0775658  0.0242134   0.495978 0.00953298
(1,2,(3,((4,6),5))); -4536.71  -1.64152 30.3021 13.8068 26.696 -4578.26 0.283671 0.267024 0.160347 0.288957  0.252869  0.145361  0.100167  0.019117  0.472102 0.0103842
(1,(2,3),((4,6),5)); -4547.28  -1.76579 30.2409 13.6579 24.9304 -4587.03 0.287188 0.279709  0.13717 0.295932  0.222771  0.171206 0.0945276 0.0257993  0.467953 0.0177426
(1,(2,3),((4,6),5)); -4544.53  -1.76579 29.2836 13.0018 25.5757 -4584.62 0.301795 0.270735 0.141444 0.286026   0.258254   0.148263   0.105462  0.0258117   0.458494 0.00371496
(1,2,(3,(4,(5,6)))); -4531.75  -1.29936 32.025 13.3218 28.5328 -4577.68 0.295748 0.265955 0.138374 0.299923   0.230319   0.168232  0.0898187  0.0195867   0.487976 0.00406717
(1,(2,3),(4,(5,6))); -4544.21  -1.42363 25.8314 14.164 27.2114 -4581.67 0.305656 0.268051 0.135247 0.291046   0.240958   0.145094  0.0735791  0.0208945   0.516084 0.00339018
(1,(2,3),(4,(5,6))); -4547.18  -1.42363 25.5127 12.9704 22.5578 -4580.86 0.301077 0.278014 0.122584 0.298326    0.22515   0.137532   0.101792 0.00898253   0.522445 0.00409873
(1,(2,3),(4,(5,6))); -4543.57  -1.42363 30.621 13.754 24.3695 -4583.38 0.309393 0.256527 0.153501 0.280579  0.224391  0.137357 0.0924711 0.0172791   0.52659 0.0019116
(1,2,(3,(4,(5,6)))); -4538.73  -1.29936 28.5279 13.6278 26.0085 -4578.34 0.302633 0.266342 0.136894 0.294131  0.212905  0.155567 0.0970839 0.0141879  0.507471 0.0127856
(1,2,(3,((4,6),5))); -4536.63  -1.64152 29.4838 13.527 26.8152 -4577.76 0.295713 0.269057 0.141969 0.293261   0.238108   0.159581    0.10503  0.0285096   0.464308 0.00446301
(1,2,(3,((4,6),5))); -4538.46  -1.64152 30.6571 13.7069 23.4392 -4577.21 0.290147 0.264543 0.149504 0.295806   0.23974  0.177306 0.0982021 0.0311077   0.43919  0.014454
(1,2,(3,(4,(5,6)))); -4537.1  -1.29936 29.2026 13.4935 26.0219 -4577.53 0.311714  0.26857 0.137854 0.281862   0.253713   0.150007  0.0743669   0.014999   0.498802 0.00811208
(1,2,(3,((4,6),5))); -4536.04  -1.64152 29.8539 13.3878 26.6105 -4577.47 0.268472  0.26915 0.160322 0.302056   0.230102   0.167075  0.0763324  0.0265032   0.492434 0.00755362
(1,(2,3),((4,6),5)); -4543.45  -1.76579 30.8194 13.3459 26.4228 -4585.58 0.289122 0.263932 0.157443 0.289503   0.23194  0.158143 0.0887702 0.0181375  0.485267 0.0177419
(1,2,(3,((4,6),5))); -4538.75  -1.64152 26.4661 13.7775 28.5113 -4578.31 0.283981 0.268674 0.156976 0.290369   0.224518   0.154097  0.0962269  0.0220378    0.49707 0.00605106
(1,(2,3),(4,(5,6))); -4541.4  -1.42363 25.8996 13.2641 28.5861 -4581.19 0.298014 0.259359 0.144365 0.298262   0.244351   0.155465  0.0785196  0.0196215   0.494587 0.00745558
(1,(2,3),((4,6),5)); -4543.64  -1.76579 29.4028 13.0295 27.9272 -4586.17 0.287956 0.268944 0.153806 0.289295   0.215815   0.163586  0.0754839  0.0252881   0.514834 0.00499301
(1,2,(3,((4,6),5))); -4541.24  -1.64152 25.3111 13.213 26.3822 -4578.08  0.30473 0.251079 0.148958 0.295232  0.239207  0.151067 0.0786355 0.0199566   0.49996 0.0111735
(1,(2,3),(4,(5,6))); -4539.06  -1.42363 31.1949 13.8712 26.1047 -4581.07 0.281668  0.26486 0.166628 0.286843   0.226305    0.16547  0.0799593  0.0294949   0.494273 0.00449758
(1,2,(3,((4,6),5))); -4532.39  -1.64152 31.2937 13.0938 28.7489 -4577.7 0.277467 0.272251 0.149638 0.300644   0.226187   0.155895  0.0860905  0.0248904   0.498344 0.00859272
(1,2,(3,((4,6),5))); -4541.78  -1.64152 27.6392 13.5354 24.0846 -4578.33 0.304997 0.258701 0.130083 0.306218  0.233162  0.141796 0.0652283 0.0182447  0.530386 0.0111826
(1,(2,3),(4,(5,6))); -4538.17  -1.42363 30.3243 13.4766 27.706 -4581.3 0.281804 0.260822 0.141585 0.315789  0.228534  0.170267 0.0877292 0.0199807  0.488245 0.0052449
(1,(2,3),((4,6),5)); -4548.24  -1.76579 29.6707 13.4085 24.1389 -4586.88  0.27996 0.269843 0.139108 0.311088   0.26287  0.186979 0.0756946 0.0168663  0.447285 0.0103056
(1,2,(3,((4,6),5))); -4539.47  -1.64152 28.84 13.7709 23.881 -4576.78 0.292219 0.247255    0.148 0.312525   0.227997   0.180471  0.0866566   0.029874   0.468615 0.00638655
(1,2,(3,((4,6),5))); -4537.59  -1.64152 30.3149 13.9056 26.2249 -4578.58   0.2764 0.256875 0.154134 0.312591   0.233981   0.133003  0.0935466  0.0180243   0.512104 0.00934158
(1,2,(3,((4,6),5))); -4537.62  -1.64152 28.1387 13.6409 26.986 -4577.46 0.285477  0.25369 0.146404 0.314429   0.221631   0.160252  0.0741928  0.0178727   0.520339 0.00571324
(1,2,(3,((4,6),5))); -4536  -1.64152 30.0502 13.7781 26.6924 -4577.32  0.28977 0.268012 0.150098 0.292121  0.230093  0.174149 0.0962481 0.0275903   0.46252 0.0093997
(1,(2,3),(4,(5,6))); -4537.36  -1.42363 30.574 13.1393 28.1335 -4581.5  0.29507 0.267556 0.153189 0.284185   0.233324   0.167349  0.0734674  0.0162649   0.503528 0.00606674
(1,(2,3),(4,(5,6))); -4542.62  -1.42363 25.2594 13.5915 27.3799 -4580.24 0.296859 0.267547 0.133533  0.30206    0.24287   0.150756   0.102293  0.0188155   0.477465 0.00779938
(1,(2,3),(4,(5,6))); -4538.85  -1.42363 30.0447 13.4798 27.6779 -4581.67 0.279048 0.273253 0.151204 0.296495  0.250446  0.174502 0.0766381 0.0144175  0.480928 0.0030684
(1,(2,3),((4,6),5)); -4545.38  -1.76579 30.9088 13.4628 25.9206 -4586.98 0.291536 0.271515 0.128831 0.308118  0.231745  0.162658  0.072501 0.0181196  0.500319 0.0146574
(1,(2,3),(4,(5,6))); -4546.53  -1.42363 28.1332 13.3328 21.404 -4581.31 0.282397 0.273101 0.144053  0.30045  0.185892  0.174558  0.089626 0.0236962  0.504027 0.0221999
(1,(2,3),((4,6),5)); -4550.98  -1.76579 28.186 13.0412 23.4044 -4587.76 0.278547 0.278166 0.130153 0.313134   0.259931   0.182865  0.0630496  0.0201864   0.467028 0.00693983
(1,(2,3),(4,(5,6))); -4549.04  -1.42363 23.53 13.8635 24.0393 -4581.32 0.270443 0.286775 0.152001 0.290781   0.262003   0.130099  0.0876866  0.0278855   0.490761 0.00156547
(1,(2,3),(4,(5,6))); -4544.84  -1.42363 28.8309 13.271 22.3948 -4581.37 0.252698  0.26988 0.154352  0.32307   0.242148   0.170594    0.07561  0.0126828   0.490084 0.00888102
(1,(2,3),((4,6),5)); -4546.38  -1.76579 28.3307 13.7555 25.8766 -4585.06 0.293175 0.272776 0.149345 0.284704   0.224716   0.161222   0.109645  0.0297242   0.470762 0.00393091
(1,(2,3),((4,6),5)); -4552.04  -1.76579 27.2239 13.5208 23.9769 -4587.95 0.299182 0.244147 0.141682 0.314988   0.234852    0.14494   0.070218  0.0249802   0.516693 0.00831691
(1,(2,3),(4,(5,6))); -4538.67  -1.42363 32.6496 13.4884 25.2363 -4581.64 0.287667 0.264692 0.154862 0.292779   0.209264   0.156014  0.0681904  0.0321106   0.524644 0.00977719
(1,(2,(4,(5,6))),3); -4544.82  -2.76434 28.0146 13.5545 24.7611 -4581.28 0.300588 0.254505 0.141297  0.30361   0.210255   0.153537  0.0891997  0.0353108    0.50602 0.00567764
(1,2,(3,(4,(5,6)))); -4538.15  -1.29936 28.9595 13.4269 24.0843 -4576.47 0.291316 0.256228 0.161501 0.290955   0.251122   0.158927  0.0761905 0.00722332   0.498418 0.00811869
(1,(2,3),((4,6),5)); -4546.15  -1.76579 27.2812 13.3861 26.9539 -4585.23 0.275776  0.28046 0.141216 0.302548   0.223079   0.144451  0.0882409    0.03256   0.507056 0.00461348
