tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((2,(3,(4,(5,6)))),((8,13),(9,((10,11),12)))),7); -7668.84  -2.90577 82.1326 39.9144 28.0693 -7736.23 0.250955 0.253086 0.170482 0.325477   0.177879   0.179863  0.0553615  0.0116596   0.573346 0.00189037
(1,(((2,(4,(5,6))),3),7),((8,13),((9,12),(10,11)))); -7684.48  -5.22908 78.7058 39.8267 30.5935 -7748.72 0.252818 0.251306 0.166638 0.329239   0.208211   0.189086  0.0580422  0.0158344   0.524149 0.00467734
(1,(((2,3),(4,(5,6))),((8,13),(9,((10,11),12)))),7); -7666.84  -2.75121 82.1257 39.2915 30.3871 -7737.31 0.251435 0.247274 0.154949 0.346343   0.204303   0.177456  0.0588078  0.0161985   0.536907 0.00632768
(1,((2,(3,(4,(5,6)))),((8,13),(9,((10,11),12)))),7); -7658.85  -2.90577 87.5955 39.9174 28.9895 -7732.61 0.248995 0.245245 0.166907 0.338853  0.206067  0.164831 0.0665029 0.0204538      0.54 0.0021447
(1,((2,(3,(4,(5,6)))),(8,(((9,12),(10,11)),13))),7); -7673.32  -2.81023 81.8326 38.7462 21.8728 -7735.46 0.260383 0.270771  0.14075 0.328096   0.186858   0.207072  0.0562047 0.00982448   0.530154 0.00988606
(1,((((2,3),(4,(5,6))),7),((9,((10,11),12)),13)),8); -7672.82  -4.81503 80.1806 39.4917 23.5943 -7732.28 0.274112 0.240104 0.159623 0.326161  0.196998  0.180012 0.0512981 0.0186515  0.539138 0.0139019
(1,((2,(3,(4,(5,6)))),((8,13),(9,((10,11),12)))),7); -7672.64  -2.90577 75.9183 39.8065 24.3534 -7730.2 0.259086 0.240346 0.149122 0.351446  0.226726  0.182762 0.0539062 0.0172618  0.508283 0.0110613
(1,(((2,3),(4,(5,6))),(8,(((9,12),(10,11)),13))),7); -7671.07  -2.65568 80.8662 39.6801 30.0017 -7739.61 0.249419 0.249724 0.148249 0.352607   0.210096   0.191964  0.0575541  0.0123948   0.524995 0.00299597
(1,((2,(3,(4,(5,6)))),(8,(((9,12),(10,11)),13))),7); -7667.04  -2.81023 77.4371 39.5318 30.2006 -7732.34 0.245329 0.249075 0.170967 0.334629    0.19089   0.188614  0.0529694  0.0195778   0.545076 0.00287215
(1,(((2,3),(4,(5,6))),7),((8,13),((9,12),(10,11)))); -7693.51  -2.99274 73.1829 38.5741 25.6525 -7750.78 0.263934 0.255502 0.134609 0.345955  0.191424  0.168655 0.0588546 0.0174801  0.560673 0.0029133
(1,(((2,3),(4,(5,6))),((8,13),((9,12),(10,11)))),7); -7683.3  -2.14452 75.8044 39.3714 27.5469 -7745.13 0.249201 0.259687 0.144491 0.346621  0.180768  0.187485  0.055907 0.0120203   0.55811   0.00571
(1,(((2,3),(4,(5,6))),((8,13),(9,((10,11),12)))),7); -7670.76  -2.75121 81.521 39.4722 26.8384 -7736.89 0.267118 0.241816 0.170168 0.320899   0.202648   0.205283  0.0533092  0.0143411   0.516794 0.00762437
(1,(((2,(3,(4,(5,6)))),7),((9,((10,11),12)),13)),8); -7663.84  -4.96958 79.5591 39.0264 27.0865 -7726.49 0.262527 0.254625 0.161645 0.321202   0.200222   0.165901  0.0619891  0.0198308   0.546171 0.00588654
(1,((2,(3,(4,(5,6)))),((8,13),(9,((10,11),12)))),7); -7660.28  -2.90577 83.9525 39.5412 29.5093 -7731.3 0.254304 0.252325 0.152394 0.340977   0.189261   0.181639  0.0670014  0.0149476   0.539971 0.00717928
(1,(((2,3),(4,(5,6))),7),((8,13),(9,((10,11),12)))); -7688.44  -3.59944 81.7417 39.6034 22.6224 -7749.61 0.283735 0.242855 0.155005 0.318405   0.175313   0.169391  0.0682395  0.0142314   0.569189 0.00363664
