((((1,(3,((4,5),6))),2),11),(((7,8),9),10),12); 0.77044524 0.76564770  -0.11325822  -0.11597102
((((1,2),(3,((4,5),6))),11),(((7,8),9),10),12); 0.15531905 0.16051236  -0.80877528  -0.79449152
((((1,((3,6),(4,5))),2),11),(((7,8),9),10),12); 0.03367143 0.04215137  -1.47273846  -1.37518826
((((1,(3,((4,5),6))),2),(((7,8),9),10)),11,12); 0.02173571 0.01780489  -1.66282608  -1.74946063
((((1,2),((3,6),(4,5))),11),(((7,8),9),10),12); 0.01771190 0.00883672  -1.75173473  -2.05370876
((((1,((3,6),(4,5))),2),(((7,8),9),10)),11,12); 0.00076190 0.00098022  -3.11809931  -3.00867787
((((1,2),(3,((4,5),6))),(((7,8),9),10)),11,12); 0.00019762 0.00373266  -3.70417120  -2.42798114
((((1,((3,(4,5)),6)),2),11),(((7,8),9),10),12); 0.00007143 0.00010195  -4.14612804  -3.99161423
((((1,2),((3,(4,5)),6)),11),(((7,8),9),10),12); 0.00005238 0.00002137  -4.28082661  -4.67013473
((((1,2),((3,6),(4,5))),(((7,8),9),10)),11,12); 0.00002857 0.00020550  -4.54406804  -3.68719838
((((1,(((3,6),5),4)),2),11),(((7,8),9),10),12); 0.00000238 0.00000192  -5.62324929  -5.71589010
((((1,((3,(4,5)),6)),2),(((7,8),9),10)),11,12); 0.00000238 0.00000237  -5.62324929  -5.62510384
