(((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),19),11),18,20); 0.00425000 0.00242090  -2.37161107  -2.61602326
(((((((((1,2),((3,4),6)),((7,8),10)),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00308333 0.00299302  -2.51097952  -2.52389033
((((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),(5,9)),14),(15,16)),17),19),11),18,20); 0.00291667 0.00104393  -2.53511320  -2.98132799
(((((((((1,2),((3,6),4)),((7,8),10)),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00291667 0.00199186  -2.53511320  -2.70074098
((((((((1,2),((3,4),6)),((7,8),10)),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00291667 0.00216273  -2.53511320  -2.66499712
((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00279167 0.00174932  -2.55413644  -2.75713005
(((((((((1,2),(12,13)),(((3,4),6),((7,8),10))),((5,9),14)),(15,16)),17),19),11),18,20); 0.00262500 0.00237808  -2.58087069  -2.62377326
((((((((1,2),((((3,4),6),((7,8),10)),(12,13))),((5,9),14)),(15,16)),17),19),11),18,20); 0.00254167 0.00207085  -2.59488141  -2.68385142
(((((((((1,2),(((3,6),4),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),19),11),18,20); 0.00245833 0.00161111  -2.60935923  -2.79287391
(((((((((1,2),((3,4),6)),((7,8),10)),((5,9),((12,13),14))),(15,16)),17),19),18),11,20); 0.00241667 0.00180206  -2.61678325  -2.74423172
((((((((((1,2),(((3,6),4),((7,8),10))),(12,13)),(5,9)),14),(15,16)),17),19),11),18,20); 0.00233333 0.00069474  -2.63202321  -3.15817863
((((((((1,2),(((3,6),4),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00233333 0.00116418  -2.63202321  -2.93398070
((((((((((1,2),((3,4),6)),(7,8)),10),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00225000 0.00171698  -2.64781748  -2.76523491
(((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),19),18),11,20); 0.00220833 0.00145759  -2.65593537  -2.83636465
((((((((((1,2),((3,4),6)),10),(7,8)),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00216667 0.00171134  -2.66420790  -2.76666381
(((((((((1,2),(12,13)),(((3,4),6),((7,8),10))),((5,9),14)),(15,16)),17),19),18),11,20); 0.00204167 0.00143181  -2.69001516  -2.84411466
((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),(17,19)),11),18,20); 0.00204167 0.00094796  -2.69001516  -3.02320814
(((((((((1,2),((3,4),6)),(7,8)),10),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00200000 0.00124068  -2.69897000  -2.90634170
(((((((((1,2),((3,4),6)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00187500 0.00203217  -2.72699873  -2.69203979
(((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),(5,9)),14),(15,16)),17),19),(11,18),20); 0.00183333 0.00075434  -2.73675857  -3.12243478
(((((((((1,2),(((3,6),4),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),19),18),11,20); 0.00183333 0.00097003  -2.73675857  -3.01321530
(((((((((1,2),(12,13)),(((3,6),4),((7,8),10))),((5,9),14)),(15,16)),17),19),11),18,20); 0.00183333 0.00158262  -2.73675857  -2.80062391
((((((((1,2),((3,4),6)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),17),19),(11,18),20); 0.00179167 0.00146843  -2.74674279  -2.83314659
((((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),(5,9)),14),(15,16)),17),19),18),11,20); 0.00175000 0.00062854  -2.75696195  -3.20166938
((((((((((1,2),((3,6),4)),(7,8)),10),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00175000 0.00114265  -2.75696195  -2.94208556
(((((((((1,2),((3,4),6)),10),(7,8)),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00175000 0.00123660  -2.75696195  -2.90777061
((((((((1,2),((3,6),4)),((7,8),10)),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00175000 0.00143930  -2.75696195  -2.84184777
((((((((1,2),(((3,4),6),((7,8),10))),((5,9),((12,13),14))),(15,16)),17),19),18),11,20); 0.00170833 0.00219564  -2.76742738  -2.65843863
((((((((1,2),(12,13)),(((3,4),6),((7,8),10))),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00170833 0.00171838  -2.76742738  -2.76488005
((((((((((1,2),((3,4),6)),10),(7,8)),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00166667 0.00116195  -2.77815125  -2.93481328
((((((((((1,2),((3,4),6)),10),(7,8)),((5,9),((12,13),14))),(15,16)),17),19),18),11,20); 0.00166667 0.00103037  -2.77815125  -2.98700521
((((((((1,2),((((3,6),4),((7,8),10)),(12,13))),((5,9),14)),(15,16)),17),19),11),18,20); 0.00162500 0.00137815  -2.78914663  -2.86070207
((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),19),17),(11,18),20); 0.00162500 0.00056915  -2.78914663  -3.24477056
((((((((1,2),(12,13)),(((3,6),4),((7,8),10))),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00162500 0.00114359  -2.78914663  -2.94173070
((((((((((1,2),((3,4),6)),(7,8)),10),((5,9),((12,13),14))),(15,16)),17),19),18),11,20); 0.00158333 0.00103377  -2.80042765  -2.98557630
(((((((((1,2),((3,6),4)),((7,8),10)),((5,9),((12,13),14))),(15,16)),17),19),18),11,20); 0.00158333 0.00119927  -2.80042765  -2.92108237
((((((((1,2),(((3,4),6),((7,8),10))),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00158333 0.00364672  -2.80042765  -2.43809724
((((((((1,2),(((3,6),4),((7,8),10))),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00158333 0.00242690  -2.80042765  -2.61494788
((((((((1,2),((3,6),4)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),17),19),(11,18),20); 0.00158333 0.00097724  -2.80042765  -3.00999723
(((((((((1,2),((3,6),4)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00154167 0.00135241  -2.81200952  -2.86889044
(((((((1,2),((((3,4),6),((7,8),10)),(12,13))),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00154167 0.00149638  -2.81200952  -2.82495821
((((((((((1,2),((3,6),4)),10),(7,8)),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00150000 0.00077328  -2.82390874  -3.11166393
((((((((((1,2),((3,6),4)),10),(7,8)),((5,9),((12,13),14))),(15,16)),17),19),11),18,20); 0.00150000 0.00113890  -2.82390874  -2.94351446
(((((((((1,2),((3,4),6)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),17),19),18),11,20); 0.00141667 0.00122354  -2.84873232  -2.91238119
(((((((((1,2),((3,4),6)),((7,8),10)),(12,13)),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00141667 0.00143574  -2.84873232  -2.84292314
((((((((((1,2),((3,4),6)),(7,8)),10),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00133333 0.00116578  -2.87506126  -2.93338438
((((((((((1,2),((3,4),6)),10),(7,8)),(((5,9),14),(12,13))),(15,16)),17),19),18),11,20); 0.00133333 0.00069959  -2.87506126  -3.15515467
((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),17),(11,19)),18,20); 0.00133333 0.00065493  -2.87506126  -3.18380309
(((((((1,2),(((3,4),6),((7,8),10))),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00133333 0.00263509  -2.87506126  -2.57920403
(((((((((1,2),((3,4),6)),((7,8),10)),((5,9),((12,13),14))),(15,16)),19),17),11),18,20); 0.00129167 0.00097380  -2.88884955  -3.01153084
(((((((((1,2),((3,4),6)),(7,8)),10),(((5,9),14),(12,13))),(15,16)),17),19),(11,18),20); 0.00129167 0.00084238  -2.88884955  -3.07449117
((((((((1,2),(((3,4),6),((7,8),10))),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00129167 0.00247602  -2.88884955  -2.60624670
(((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),(17,19)),(11,18),20); 0.00129167 0.00068499  -2.88884955  -3.16431493
((((((((((1,2),((3,4),6)),((7,8),10)),(12,13)),((5,9),14)),(15,16)),17),19),11),18,20); 0.00125000 0.00198693  -2.90308999  -2.70181635
(((((((((1,2),((3,6),4)),10),(7,8)),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00125000 0.00082296  -2.90308999  -3.08462125
((((((((1,2),((3,4),6)),((7,8),10)),((5,9),((12,13),14))),(15,16)),(17,19)),11),18,20); 0.00125000 0.00117199  -2.90308999  -2.93107520
((((((((1,2),(12,13)),(((3,4),6),((7,8),10))),((5,9),14)),(15,16)),(17,19)),11),18,20); 0.00125000 0.00093120  -2.90308999  -3.03095814
(((((((((((1,2),((3,4),6)),((7,8),10)),(12,13)),(5,9)),14),(15,16)),17),19),11),18,20); 0.00120833 0.00085680  -2.91781324  -3.06712108
((((((((1,2),(((3,6),4),((7,8),10))),(12,13)),((5,9),14)),(15,16)),(17,19)),11),18,20); 0.00120833 0.00063087  -2.91781324  -3.20005878
(((((((1,2),(((3,4),6),((7,8),10))),(((5,9),14),(12,13))),(15,16)),17),19),(11,18),20); 0.00120833 0.00178915  -2.91781324  -2.74735349
(((((((((1,2),((3,4),6)),(7,8)),10),((5,9),((12,13),14))),(15,16)),(17,19)),11),18,20); 0.00116667 0.00067233  -2.93305321  -3.17241979
(((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),((11,19),17)),18,20); 0.00116667 0.00049235  -2.93305321  -3.30773029
((((((((1,2),((((3,4),6),((7,8),10)),(12,13))),((5,9),14)),(15,16)),17),19),18),11,20); 0.00112500 0.00124683  -2.94884748  -2.90419282
((((((((1,2),(((3,6),4),((7,8),10))),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00112500 0.00164779  -2.94884748  -2.78309735
(((((((1,2),((((3,4),6),((7,8),10)),(12,13))),((5,9),14)),(15,16)),(17,19)),11),18,20); 0.00112500 0.00081089  -2.94884748  -3.09103630
(((((((1,2),((((3,6),4),((7,8),10)),(12,13))),((5,9),14)),(15,16)),17),19),(11,18),20); 0.00112500 0.00099584  -2.94884748  -3.00180886
(((((((((1,2),((3,6),4)),(7,8)),10),((5,9),((12,13),14))),(15,16)),17),19),(11,18),20); 0.00108333 0.00082567  -2.96523789  -3.08319235
(((((((((1,2),(12,13)),(((3,6),4),((7,8),10))),((5,9),14)),(15,16)),17),19),18),11,20); 0.00108333 0.00095287  -2.96523789  -3.02096530
((((((((1,2),(((3,4),6),((7,8),10))),(((5,9),14),(12,13))),(15,16)),17),19),18),11,20); 0.00108333 0.00149077  -2.96523789  -2.82658810
(((((((1,2),((3,4),6)),((7,8),10)),((5,9),((12,13),14))),(15,16)),(17,19)),(11,18),20); 0.00108333 0.00084687  -2.96523789  -3.07218199
((((((((((1,2),(((3,6),4),((7,8),10))),(12,13)),(5,9)),14),(15,16)),17),19),18),11,20); 0.00104167 0.00041829  -2.98227123  -3.37852003
((((((((((1,2),((3,4),6)),(7,8)),10),(((5,9),(12,13)),14)),(15,16)),17),19),11),18,20); 0.00100000 0.00075046  -3.00000000  -3.12467256
((((((((((1,2),((3,6),4)),(7,8)),10),((5,9),((12,13),14))),(15,16)),17),19),18),11,20); 0.00100000 0.00068798  -3.00000000  -3.16242695
(((((((((1,2),((3,4),6)),10),(7,8)),(((5,9),14),(12,13))),(15,16)),17),19),(11,18),20); 0.00100000 0.00083961  -3.00000000  -3.07592007
(((((((((((1,2),((3,4),6)),((7,8),10)),(12,13)),(5,9)),14),(15,16)),17),19),18),11,20); 0.00095833 0.00051587  -3.01848341  -3.28746247
(((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),((5,9),14)),(15,16)),19),17),11),18,20); 0.00095833 0.00078766  -3.01848341  -3.10366377
(((((((((1,2),((3,4),6)),((7,8),10)),(((5,9),(12,13)),14)),(15,16)),17),19),11),18,20); 0.00095833 0.00130819  -3.01848341  -2.88332798
(((((((((1,2),((3,6),4)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),17),19),18),11,20); 0.00095833 0.00081427  -3.01848341  -3.08923184
((((((((1,2),(((3,4),6),((7,8),10))),(((5,9),(12,13)),14)),(15,16)),17),19),11),18,20); 0.00095833 0.00159391  -3.01848341  -2.79753489
((((((((1,2),((3,4),6)),((7,8),10)),(((5,9),14),(12,13))),(15,16)),(17,19)),11),18,20); 0.00095833 0.00079575  -3.01848341  -3.09922467
((((((((1,2),(12,13)),(((3,6),4),((7,8),10))),((5,9),14)),(15,16)),(17,19)),11),18,20); 0.00095833 0.00061971  -3.01848341  -3.20780879
((((((1,2),((((3,4),6),((7,8),10)),(12,13))),((5,9),14)),(15,16)),(17,19)),(11,18),20); 0.00095833 0.00058595  -3.01848341  -3.23214309
((((((((((1,2),(((3,4),6),((7,8),10))),(12,13)),(5,9)),14),(15,16)),19),17),18),11,20); 0.00091667 0.00020450  -3.03778856  -3.68930989
((((((((((1,2),((3,4),6)),(7,8)),10),(((5,9),14),(12,13))),(15,16)),17),19),18),11,20); 0.00091667 0.00070190  -3.03778856  -3.15372577
((((((((((1,2),((3,6),4)),(7,8)),10),(((5,9),14),(12,13))),(15,16)),17),19),11),18,20); 0.00091667 0.00077583  -3.03778856  -3.11023502
