((((1,7),(2,(3,(4,(5,6))))),8),(9,((10,11),12)),13); 0.79977143 0.79980718  -0.09703411  -0.09701470
(((1,8),((2,(3,(4,(5,6)))),7)),(9,((10,11),12)),13); 0.18609286 0.18604968  -0.73027030  -0.73037108
(((1,((2,(3,(4,(5,6)))),7)),8),(9,((10,11),12)),13); 0.00520000 0.00519501  -2.28399666  -2.28441368
((((1,7),(2,(3,(4,(5,6))))),8),((9,12),(10,11)),13); 0.00361190 0.00298958  -2.44226371  -2.52438935
((((1,7),(2,(3,(4,(5,6))))),(9,((10,11),12))),8,13); 0.00258333 0.00258310  -2.58781955  -2.58785807
(((1,8),(((2,3),(4,(5,6))),7)),(9,((10,11),12)),13); 0.00087857 0.00029864  -3.05622292  -3.52485913
((((1,7),((2,3),(4,(5,6)))),8),(9,((10,11),12)),13); 0.00070238 0.00128380  -3.15342727  -2.89150275
((((1,8),(2,(3,(4,(5,6))))),7),(9,((10,11),12)),13); 0.00066667 0.00066302  -3.17609126  -3.17847533
((((1,7),8),(2,(3,(4,(5,6))))),(9,((10,11),12)),13); 0.00011905 0.00011840  -3.92427929  -3.92666336
(((1,8),(((2,(4,(5,6))),3),7)),(9,((10,11),12)),13); 0.00005238 0.00001686  -4.28082661  -4.77309060
(((1,8),((2,(3,(4,(5,6)))),7)),((9,12),(10,11)),13); 0.00004762 0.00069543  -4.32221929  -3.15774573
((((1,7),(2,(3,(4,(5,6))))),8),((9,(10,11)),12),13); 0.00004048 0.00003250  -4.39280037  -4.48817718
((((1,7),((2,(4,(5,6))),3)),8),(9,((10,11),12)),13); 0.00003810 0.00007249  -4.41912931  -4.13973422
(((1,7),((2,(3,(4,(5,6)))),8)),(9,((10,11),12)),13); 0.00003810 0.00003789  -4.41912931  -4.42151338
((((1,(2,(3,(4,(5,6))))),7),8),(9,((10,11),12)),13); 0.00002857 0.00002832  -4.54406804  -4.54785248
((((1,7),(2,(3,(4,(5,6))))),((9,12),(10,11))),8,13); 0.00002619 0.00000966  -4.58185661  -5.01523271
(((1,((2,(3,(4,(5,6)))),7)),8),((9,12),(10,11)),13); 0.00002619 0.00001942  -4.58185661  -4.71178833
((((1,7),(2,((3,4),(5,6)))),8),(9,((10,11),12)),13); 0.00002381 0.00001908  -4.62324929  -4.71951781
((((1,8),7),(2,(3,(4,(5,6))))),(9,((10,11),12)),13); 0.00002143 0.00002131  -4.66900678  -4.67139085
((((1,7),((2,3),(4,(5,6)))),8),((9,12),(10,11)),13); 0.00000952 0.00000480  -5.02118930  -5.31887740
(((1,(((2,3),(4,(5,6))),7)),8),(9,((10,11),12)),13); 0.00000952 0.00000834  -5.02118930  -5.07890173
(((1,((2,(3,(4,(5,6)))),7)),(9,((10,11),12))),8,13); 0.00000476 0.00001678  -5.32221929  -4.77525705
(((1,(2,(3,(4,(5,6))))),(7,8)),(9,((10,11),12)),13); 0.00000238 0.00000237  -5.62324929  -5.62563336
(((1,8),(((2,3),(4,(5,6))),7)),((9,12),(10,11)),13); 0.00000238 0.00000112  -5.62324929  -5.95223378
((1,(((2,(3,(4,(5,6)))),7),8)),(9,((10,11),12)),13); 0.00000238 0.00000237  -5.62324929  -5.62563336
